Date,Price,Open,High,Low,Vol.,Change %
16-Jul-13,"41,020","40,826","41,289","40,674",22.92K,0.17%
15-Jul-13,"40,950","41,536","41,962","40,871",29.33K,-1.28%
13-Jul-13,"41,480","41,400","41,500","41,392",1.02K,0.40%
12-Jul-13,"41,316","41,561","41,689","41,090",23.59K,-0.91%
11-Jul-13,"41,697","40,300","41,948","40,300",40.31K,3.79%
10-Jul-13,"40,174","40,060","40,500","39,930",22.30K,0.01%
9-Jul-13,"40,168","40,441","40,795","40,118",24.69K,-0.54%
8-Jul-13,"40,388","40,249","40,782","39,960",27.17K,0.22%
6-Jul-13,"40,298","40,060","40,340","40,060",1.27K,2.27%
5-Jul-13,"39,402","40,140","40,186","39,365",0.49K,-2.67%
4-Jul-13,"40,484","40,587","40,700","40,400",0.28K,-1.23%
3-Jul-13,"40,989","40,154","41,150","40,120",0.58K,2.77%
2-Jul-13,"39,883","40,068","40,548","39,750",0.92K,-0.46%
1-Jul-13,"40,067","40,184","40,451","39,690",3.91K,-0.35%
29-Jun-13,"40,208","40,600","40,619","40,150",5.07K,-0.63%
28-Jun-13,"40,461","38,792","40,697","38,536",70.77K,4.29%
27-Jun-13,"38,796","39,502","39,863","38,625",52.89K,-1.95%
26-Jun-13,"39,568","40,542","40,542","38,825",87.35K,-2.69%
25-Jun-13,"40,663","40,702","41,028","40,360",47.49K,-0.42%
24-Jun-13,"40,834","41,334","41,334","40,570",58.17K,-1.81%
22-Jun-13,"41,586","41,490","41,600","41,490",1.70K,0.21%
21-Jun-13,"41,497","41,201","41,620","40,716",64.64K,0.46%
20-Jun-13,"41,305","43,800","43,805","41,186",120.41K,-6.03%
19-Jun-13,"43,954","43,950","44,108","43,675",32.77K,-0.20%
18-Jun-13,"44,041","43,700","44,240","43,620",48.12K,1.02%
17-Jun-13,"43,597","43,860","43,860","43,336",32.91K,-0.54%
15-Jun-13,"43,834","43,833","43,870","43,800",1.02K,0.11%
14-Jun-13,"43,788","43,319","44,499","43,020",54.06K,1.28%
13-Jun-13,"43,235","43,717","44,039","43,180",51.34K,-0.71%
12-Jun-13,"43,546","43,700","43,788","43,165",41.19K,-0.15%
11-Jun-13,"43,611","44,229","44,445","43,307",50.39K,-1.25%
10-Jun-13,"44,162","43,140","44,232","42,682",58.80K,2.73%
8-Jun-13,"42,990","42,924","43,025","42,840",2.45K,-0.08%
7-Jun-13,"43,025","44,416","44,672","42,933",76.05K,-3.33%
6-Jun-13,"44,508","44,218","44,744","43,786",54.25K,0.63%
5-Jun-13,"44,228","43,820","44,592","43,770",51.66K,1.06%
4-Jun-13,"43,763","44,206","44,319","43,500",40.43K,-1.47%
3-Jun-13,"44,414","43,636","44,686","43,616",51.99K,2.09%
1-Jun-13,"43,504","43,500","43,575","43,350",1.64K,-0.26%
31-May-13,"43,616","44,377","44,660","43,350",52.91K,-1.81%
30-May-13,"44,421","43,590","44,925","43,526",67.40K,1.63%
29-May-13,"43,707","43,381","43,789","43,126",39.86K,1.03%
28-May-13,"43,262","43,550","43,926","42,960",61.65K,-0.80%
27-May-13,"43,610","43,468","43,742","43,408",17.17K,0.32%
24-May-13,"43,473","43,610","43,665","43,050",38.18K,-0.22%
23-May-13,"43,571","43,002","43,680","42,733",66.58K,0.80%
22-May-13,"43,226","43,202","44,600","43,021",85.17K,0.13%
21-May-13,"43,170","43,054","43,648","42,420",73.39K,-0.21%
20-May-13,"43,263","42,550","44,294","40,749",97.50K,1.49%
18-May-13,"42,629","42,680","42,680","42,550",1.97K,-0.43%
17-May-13,"42,814","43,270","43,280","42,551",59.89K,-1.04%
16-May-13,"43,262","43,184","43,381","42,281",80.18K,-0.12%
15-May-13,"43,314","44,400","44,439","42,950",81.02K,-2.70%
14-May-13,"44,516","45,054","45,088","44,152",55.41K,-1.33%
13-May-13,"45,118","44,901","45,340","44,861",44.41K,-0.37%
11-May-13,"45,284","45,221","45,372","45,216",2.30K,0.49%
10-May-13,"45,062","45,114","45,175","44,275",64.90K,-0.23%
9-May-13,"45,165","45,094","45,439","44,742",40.05K,0.58%
8-May-13,"44,906","44,882","45,157","44,462",47.21K,0.10%
7-May-13,"44,861","45,031","45,031","44,180",59.68K,-0.68%
6-May-13,"45,168","45,213","45,628","44,905",37.06K,0.26%
4-May-13,"45,051","45,100","45,142","44,902",0.11K,0.61%
3-May-13,"44,776","45,136","45,523","43,916",1.21K,0.53%
2-May-13,"44,541","43,772","45,196","43,598",3.91K,2.02%
1-May-13,"43,659","44,755","44,755","43,172",5.72K,-2.62%
30-Apr-13,"44,833","45,271","45,439","44,643",35.95K,-1.00%
29-Apr-13,"45,284","45,150","45,590","44,906",45.19K,0.54%
27-Apr-13,"45,043","44,987","45,090","44,826",3.45K,0.53%
26-Apr-13,"44,805","45,399","45,820","44,305",87.77K,-0.82%
25-Apr-13,"45,174","42,895","45,330","42,895",78.95K,5.32%
24-Apr-13,"42,892","42,829","43,365","42,610",32.55K,0.18%
23-Apr-13,"42,814","43,387","43,484","42,338",79.22K,-2.00%
22-Apr-13,"43,687","43,550","44,070","43,427",53.02K,0.61%
20-Apr-13,"43,423","43,083","43,448","43,083",4.59K,1.16%
19-Apr-13,"42,924","43,699","43,783","42,410",35.65K,-0.82%
18-Apr-13,"43,278","43,200","43,969","42,871",69.53K,-0.81%
17-Apr-13,"43,631","43,870","44,265","42,838",87.02K,-1.28%
16-Apr-13,"44,195","43,876","44,851","42,753",115.90K,-0.41%
15-Apr-13,"44,378","48,369","48,369","43,522",203.73K,-9.25%
13-Apr-13,"48,901","48,785","48,947","48,550",9.01K,-1.07%
12-Apr-13,"49,430","51,617","51,667","49,000",119.65K,-4.34%
11-Apr-13,"51,674","51,488","51,888","51,215",52.43K,-0.20%
10-Apr-13,"51,775","52,180","52,371","51,465",65.26K,-0.74%
9-Apr-13,"52,163","51,201","52,447","51,164",58.81K,1.88%
8-Apr-13,"51,198","51,520","51,559","51,070",31.53K,-0.72%
6-Apr-13,"51,570","51,450","51,593","51,350",1.94K,0.18%
5-Apr-13,"51,479","50,921","51,578","50,763",62.51K,1.03%
4-Apr-13,"50,955","50,664","51,074","50,553",75.15K,0.46%
3-Apr-13,"50,722","51,240","51,450","50,423",89.88K,-1.46%
2-Apr-13,"51,473","52,847","52,847","51,254",73.65K,-2.37%
1-Apr-13,"52,725","53,205","53,251","52,554",45.25K,-0.65%
30-Mar-13,"53,072","53,550","53,600","51,425",10.06K,-0.92%
28-Mar-13,"53,564","54,036","54,050","53,385",44.93K,-0.92%
27-Mar-13,"54,062","53,916","54,149","53,250",41.77K,-0.03%
26-Mar-13,"54,078","54,210","54,275","53,924",36.49K,-0.25%
25-Mar-13,"54,212","54,222","54,340","53,614",53.82K,0.10%
23-Mar-13,"54,159","54,132","54,174","54,132",0.97K,0.06%
22-Mar-13,"54,125","54,989","54,989","53,972",58.85K,-1.70%
21-Mar-13,"55,063","54,392","55,100","54,150",50.73K,1.35%
20-Mar-13,"54,331","54,648","54,677","54,279",30.76K,-0.69%
19-Mar-13,"54,707","54,297","54,810","54,201",49.19K,0.71%
18-Mar-13,"54,321","54,250","54,555","54,057",130.36K,0.23%
16-Mar-13,"54,194","54,169","54,210","54,160",0.92K,0.00%
15-Mar-13,"54,192","54,290","54,522","54,146",40.19K,-0.18%
14-Mar-13,"54,289","54,702","54,702","54,084",60.13K,-0.85%
13-Mar-13,"54,757","54,875","55,175","54,580",55.24K,-0.34%
12-Mar-13,"54,943","54,672","55,199","54,582",47.43K,0.64%
11-Mar-13,"54,593","54,980","55,020","54,437",35.94K,-0.48%
9-Mar-13,"54,855","54,801","54,872","54,780",0.77K,0.00%
8-Mar-13,"54,854","54,674","55,236","53,892",75.93K,0.36%
7-Mar-13,"54,656","55,105","55,225","54,616",51.39K,-0.57%
6-Mar-13,"54,968","54,810","55,500","54,502",66.92K,2.17%
5-Mar-13,"53,803","54,434","54,434","53,750",0.78K,0.00%
4-Mar-13,"53,801","54,240","54,240","53,587",1.11K,-0.12%
2-Mar-13,"53,867","53,745","53,899","53,620",0.29K,0.29%
1-Mar-13,"53,711","53,490","54,087","52,621",9.31K,0.83%
28-Feb-13,"53,267","53,800","54,199","53,145",59.51K,-0.96%
27-Feb-13,"53,786","54,500","54,500","53,680",54.83K,-1.46%
26-Feb-13,"54,582","54,002","54,739","53,401",81.87K,1.13%
25-Feb-13,"53,972","53,750","54,190","53,512",66.10K,0.50%
23-Feb-13,"53,702","53,428","54,100","53,428",2.88K,0.75%
22-Feb-13,"53,304","54,167","54,219","53,156",66.53K,-1.49%
21-Feb-13,"54,112","53,671","54,284","53,077",107.88K,0.73%
20-Feb-13,"53,720","55,259","55,278","53,266",115.61K,-2.63%
19-Feb-13,"55,171","56,330","56,371","54,872",75.26K,-1.86%
18-Feb-13,"56,215","56,215","56,415","56,122",29.65K,0.27%
16-Feb-13,"56,063","56,050","56,093","56,030",1.80K,-0.04%
15-Feb-13,"56,086","56,689","56,743","55,947",70.16K,-0.96%
14-Feb-13,"56,630","57,469","57,630","56,550",67.25K,-1.41%
13-Feb-13,"57,442","57,699","57,850","57,405",41.92K,-0.20%
12-Feb-13,"57,555","57,502","57,633","57,211",55.46K,-0.18%
11-Feb-13,"57,661","58,309","58,360","57,542",56.74K,-1.00%
9-Feb-13,"58,246","58,163","58,277","58,146",0.98K,0.06%
8-Feb-13,"58,212","58,114","58,425","57,966",45.69K,0.29%
7-Feb-13,"58,041","58,369","58,645","57,762",78.76K,-0.57%
6-Feb-13,"58,376","58,275","58,478","58,076",41.84K,0.03%
5-Feb-13,"58,356","58,432","58,790","58,052",63.87K,-0.11%
4-Feb-13,"58,418","58,195","58,661","57,910",51.80K,0.00%
2-Feb-13,"58,418","58,408","58,462","58,384",1.12K,-0.14%
1-Feb-13,"58,502","57,930","58,945","57,729",75.36K,1.13%
31-Jan-13,"57,849","59,051","59,084","57,472",71.74K,-2.05%
30-Jan-13,"59,061","58,030","59,139","57,712",77.59K,1.99%
29-Jan-13,"57,906","57,795","58,030","57,711",44.52K,0.25%
28-Jan-13,"57,762","58,151","58,454","57,677",62.55K,-0.84%
25-Jan-13,"58,250","58,954","59,034","58,176",50.63K,-1.19%
24-Jan-13,"58,953","59,780","59,780","58,881",65.49K,-1.52%
23-Jan-13,"59,865","59,680","59,974","59,525",52.52K,0.42%
22-Jan-13,"59,617","59,396","59,720","59,217",48.13K,0.31%
21-Jan-13,"59,432","59,460","59,649","59,322",29.88K,0.09%
19-Jan-13,"59,378","59,351","59,408","59,325",1.20K,-0.10%
18-Jan-13,"59,436","59,405","59,698","59,155",54.38K,-0.30%
17-Jan-13,"59,614","59,706","59,706","58,528",81.09K,-0.17%
16-Jan-13,"59,718","59,584","59,787","59,174",51.52K,0.44%
15-Jan-13,"59,459","58,853","59,580","58,765",57.66K,1.22%
